"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Thu","Tue","Wed","year","temp","max","min","collisions"
"253",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,67.4,77,59,622
"254",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,69.6,80.1,62.1,681
"255",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,71.6,82,64,690
"256",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,80.6,90,73.4,680
"257",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,80.9,91,73,648
"258",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,79.4,84.9,73.9,621
"259",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,78.1,86,73.9,598
"260",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,77.1,84.9,73,608
"261",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,74.2,77,72,633
"262",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,75.6,82,72,601
"263",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,76,82.9,73,635
"264",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,79.5,87.1,75,438
