date,wban,f0_
2020-09-13,54757,9.3
2020-09-13,94790,9.3
2020-09-13,04789,10
2020-09-13,54773,9.4
2020-09-13,54778,9.7
2020-09-13,14748,9.7
2020-09-13,14768,9.6
2020-09-13,64761,10
2020-09-13,94728,10
2020-09-13,14719,10
2020-09-13,54780,999.9
2020-09-13,54787,10
2020-09-13,14714,10
2020-09-13,94740,9.4
2020-09-13,14750,9.7
2020-09-13,14715,9.9
2020-09-13,64775,8.8
2020-09-13,04725,9.9
2020-09-12,54746,9.2
2020-09-12,00465,8.6
2020-09-12,94761,9.7
2020-09-12,54790,10
2020-09-12,94725,9.9
2020-09-12,14757,10
2020-09-12,04725,8.5
2020-09-12,04720,10
2020-09-12,14750,9.1
2020-09-12,94790,9.8
2020-09-12,14771,10
2020-09-12,04724,10
2020-09-12,14715,10
2020-09-12,14768,10
2020-09-12,94704,10
2020-09-12,04781,10
2020-09-12,54778,8.4
2020-09-12,14747,10
2020-09-12,14719,10
2020-09-12,54757,8.1
2020-09-12,94740,7.7
2020-09-12,99999,320.93821473587468
2020-09-12,54787,10
2020-09-12,04741,14.5
2020-09-12,14714,10
2020-09-12,14748,6.2
2020-09-12,94745,10
2020-09-12,14732,10
2020-09-12,14735,10
2020-09-12,54780,999.9
2020-09-12,14733,10
2020-09-12,64758,999.9
2020-09-12,64756,999.9
2020-09-12,64776,9.6
2020-09-12,64775,10
2020-09-12,94728,10
2020-09-12,64761,10
2020-09-12,54773,10
2020-09-12,94789,10
2020-09-12,04789,10
2020-09-11,54746,9.5
2020-09-11,94789,9.7
2020-09-11,54787,9.9
2020-09-11,54778,8.7
2020-09-11,94740,9.4
2020-09-11,94728,8
2020-09-11,04789,10
2020-09-11,94745,9.8
2020-09-11,54773,10
2020-09-11,14733,9.4
2020-09-11,14768,9
2020-09-11,04725,10
2020-09-11,14732,9.8
2020-09-11,54780,999.9
2020-09-11,04741,11.3
2020-09-11,64775,10
2020-09-11,14750,10
2020-09-11,64776,10
2020-09-11,14748,10
2020-09-11,14715,9.8
2020-09-11,04781,9.7
2020-09-11,14747,8.5
2020-09-11,00465,6.5
2020-09-11,99999,314.29666214075661
2020-09-11,54757,6.5
2020-09-11,64756,999.9
2020-09-11,64761,9.9
2020-09-11,14714,9.4
2020-09-11,04724,9.7
2020-09-11,94725,9.6
2020-09-11,14757,10
2020-09-11,04720,9.4
2020-09-11,64758,999.9
2020-09-11,14735,10
2020-09-11,94704,9.7
